Week Start,Total Sales,Total Order Quantity,Total Amount Spent,Description
2026-09-10,44345,44,6208,
2026-09-17,34681,34,4855,
2026-09-24,41653,49,5190,Wholesale buyers reordered rice and pulses.
2026-10-01,42885,43,5043,
2026-10-08,38282,37,6807,
2026-10-15,48835,51,8751,Packaging cost increased this week.
2026-10-22,48019,49,5580,Ad budget shifted to Facebook lead forms.
2026-10-29,47306,50,8345,Ad budget shifted to Facebook lead forms.
2026-11-05,49048,49,8652,Export shipment cleared on time.
2026-11-12,40259,40,7214,
2026-11-19,49266,50,6139,Seasonal demand for dry food picked up.
2026-11-26,45455,49,5346,Wholesale buyers reordered rice and pulses.
2026-12-03,47009,45,8095,Two containers delayed at port.
2026-12-10,51297,49,8474,
2026-12-17,35964,42,5639,
2026-12-24,48439,54,6171,
2026-12-31,35610,38,5035,
2027-01-07,46970,44,8088,Seasonal demand for dry food picked up.
2027-01-14,36655,42,5850,
2027-01-21,49745,48,6755,Export shipment cleared on time.
2027-01-28,52594,54,8099,
2027-02-04,39700,40,6503,
2027-02-11,40135,37,6574,Packaging cost increased this week.
2027-02-18,46566,46,8019,Seasonal demand for dry food picked up.
2027-02-25,40861,39,7322,Seasonal demand for dry food picked up.
2027-03-04,44103,53,6298,Seasonal demand for dry food picked up.
2027-03-11,37559,39,5784,
2027-03-18,45181,49,6389,
2027-03-25,32007,35,5691,Packaging cost increased this week.
2027-04-01,38028,37,4525,
2027-04-08,31699,35,3595,
2027-04-15,30303,28,3606,
2027-04-22,26047,25,3938,Packaging cost increased this week.
2027-04-29,33795,37,5441,
2027-05-06,34065,34,5866,
2027-05-13,26808,30,3415,
2027-05-20,33837,34,5021,Packaging cost increased this week.
2027-05-27,37311,39,5903,
2027-06-03,31884,34,4776,
2027-06-10,29547,28,5295,
2027-06-17,34063,32,4340,
2027-06-24,43411,46,7232,
2027-07-01,36519,40,4192,
2027-07-08,32116,30,4451,
2027-07-15,33454,38,4777,
2027-07-22,43679,50,6971,Export shipment cleared on time.
2027-07-29,36604,35,5381,
2027-08-05,44833,52,4896,
2027-08-12,44353,42,5526,Export shipment cleared on time.
2027-08-19,36648,36,4566,Ad budget shifted to Facebook lead forms.
2027-08-26,31415,31,5454,Wholesale buyers reordered rice and pulses.
2027-09-02,43670,44,5808,
2027-09-09,41312,46,5147,
2027-09-16,38885,44,6642,
2027-09-23,33885,32,5171,
2027-09-30,41009,40,5225,
2027-10-07,47577,46,6794,Export shipment cleared on time.
2027-10-14,52027,51,5754,
2027-10-21,44503,42,5234,Ad budget shifted to Facebook lead forms.
2027-10-28,42866,41,4981,Packaging cost increased this week.
2027-11-04,42271,41,5681,
2027-11-11,51057,58,5575,Export shipment cleared on time.
2027-11-18,48716,46,6547,
2027-11-25,56403,53,8844,
2027-12-02,53092,58,6021,
2027-12-09,46785,56,7663,Packaging cost increased this week.
2027-12-16,60740,56,10119,
2027-12-23,48353,51,5889,
2027-12-30,55320,52,8442,
2028-01-06,39649,37,4441,
2028-01-13,43694,48,7218,Wholesale buyers reordered rice and pulses.
2028-01-20,39150,41,5755,
2028-01-27,48719,49,7776,Wholesale buyers reordered rice and pulses.
2028-02-03,42138,49,7020,
2028-02-10,49058,53,5494,
2028-02-17,52764,51,5762,Seasonal demand for dry food picked up.
2028-02-24,52295,56,8639,Two containers delayed at port.
2028-03-02,44296,43,5147,
2028-03-09,49194,55,7989,
2028-03-16,49001,55,5420,
2028-03-23,53526,60,9517,Two containers delayed at port.
2028-03-30,38272,45,5947,
2028-04-06,42554,42,5958,
2028-04-13,45859,52,5521,Ad budget shifted to Facebook lead forms.
2028-04-20,46060,47,5610,
2028-04-27,43854,43,4789,Ad budget shifted to Facebook lead forms.
2028-05-04,34609,34,6153,Ad budget shifted to Facebook lead forms.
2028-05-11,38131,46,4271,
2028-05-18,42002,43,5880,
2028-05-25,28558,28,3478,
2028-06-01,33218,36,5813,
2028-06-08,30395,35,4979,
2028-06-15,38312,45,5739,
2028-06-22,27836,33,3702,
2028-06-29,37606,38,5791,
2028-07-06,28360,33,4010,Wholesale buyers reordered rice and pulses.
2028-07-13,36176,34,6432,Seasonal demand for dry food picked up.
2028-07-20,45885,47,5396,
2028-07-27,38892,41,5009,
2028-08-03,34725,39,5639,Ad budget shifted to Facebook lead forms.
2028-08-10,43625,48,7451,
2028-08-17,40824,42,5487,Seasonal demand for dry food picked up.
2028-08-24,39762,39,6791,
2028-08-31,46910,47,7618,
2028-09-07,47485,49,5518,
2028-09-14,45555,47,5293,
2028-09-21,41707,47,7182,Packaging cost increased this week.
2028-09-28,36992,41,5179,
2028-10-05,43058,47,5486,
2028-10-12,48859,55,8687,Two containers delayed at port.
2028-10-19,43394,51,7047,
2028-10-26,42220,49,5733,
2028-11-02,43629,52,5192,
2028-11-09,48708,50,6001,
2028-11-16,50827,49,6120,
2028-11-23,47001,50,5725,Ad budget shifted to Facebook lead forms.
2028-11-30,53380,61,9043,
2028-12-07,63760,63,7052,Seasonal demand for dry food picked up.
2028-12-14,60916,63,9296,
2028-12-21,62591,72,10077,Two containers delayed at port.
2028-12-28,66641,66,7650,
2029-01-04,57476,57,6518,Packaging cost increased this week.
2029-01-11,62099,62,8781,Packaging cost increased this week.
2029-01-18,62127,70,8959,
2029-01-25,61094,59,8639,
2029-02-01,55458,61,9938,
2029-02-08,52438,54,7635,
2029-02-15,58768,67,7240,Ad budget shifted to Facebook lead forms.
2029-02-22,40546,42,4484,
2029-03-01,40999,47,4592,
2029-03-08,46949,45,7559,Seasonal demand for dry food picked up.
2029-03-15,37336,39,5697,
2029-03-22,36495,35,4139,
2029-03-29,45823,43,5902,
2029-04-05,36994,39,5749,Packaging cost increased this week.
2029-04-12,43842,49,6383,
2029-04-19,47393,55,6502,
2029-04-26,50517,49,8840,Ad budget shifted to Facebook lead forms.
2029-05-03,45475,43,7958,
2029-05-10,41921,39,5869,
2029-05-17,50935,59,7416,Two containers delayed at port.
2029-05-24,43206,49,5746,
2029-05-31,41390,46,5157,
2029-06-07,34391,34,3948,
2029-06-14,44039,41,6289,
2029-06-21,41685,45,6828,
2029-06-28,44712,49,6197,Packaging cost increased this week.
2029-07-05,36886,39,4493,Packaging cost increased this week.
2029-07-12,40037,40,5829,
2029-07-19,40440,44,6907,Seasonal demand for dry food picked up.
2029-07-26,32592,31,3650,
2029-08-02,39852,38,6695,Export shipment cleared on time.
2029-08-09,34166,32,4879,
2029-08-16,42445,41,5170,Two containers delayed at port.
2029-08-23,42626,50,6564,
2029-08-30,43656,45,6479,
2029-09-06,54699,51,6815,Wholesale buyers reordered rice and pulses.
2029-09-13,52976,57,7713,
