Week Start,Total Sales,Total Order Quantity,Total Amount Spent,Description
2026-09-01,35199,73,7121,
2026-09-08,45919,119,7962,
2026-09-15,42749,98,7994,
2026-09-22,44437,99,8234,
2026-09-29,36267,76,5056,Free delivery offer inside Dhaka.
2026-10-06,43646,115,9052,Return rate dropped after new packaging.
2026-10-13,37618,97,7802,Google search ads paused for two days.
2026-10-20,50473,119,9181,Pharmacy chain placed a bulk order.
2026-10-27,46467,107,9953,
2026-11-03,46192,96,8952,Pharmacy chain placed a bulk order.
2026-11-10,37922,87,7285,Pharmacy chain placed a bulk order.
2026-11-17,37321,99,6408,
2026-11-24,44130,107,7952,Return rate dropped after new packaging.
2026-12-01,42171,105,7026,
2026-12-08,36476,76,6077,Stock shortage on the 500mg strip.
2026-12-15,36228,92,6590,
2026-12-22,46336,95,9374,
2026-12-29,40378,89,6246,
2027-01-05,42256,96,8764,
2027-01-12,46278,103,7395,Google search ads paused for two days.
2027-01-19,39087,86,8173,
2027-01-26,52309,131,7381,Google search ads paused for two days.
2027-02-02,45368,93,9486,
2027-02-09,38547,87,5832,Pharmacy chain placed a bulk order.
2027-02-16,35765,76,6810,
2027-02-23,49564,125,10785,Google search ads paused for two days.
2027-03-02,34001,82,5202,
2027-03-09,33712,75,7106,
2027-03-16,31766,73,6804,
2027-03-23,39458,104,6372,Pharmacy chain placed a bulk order.
2027-03-30,26767,62,4368,Pharmacy chain placed a bulk order.
2027-04-06,34949,72,6179,
2027-04-13,31899,66,4609,
2027-04-20,32897,71,5201,Pharmacy chain placed a bulk order.
2027-04-27,32854,77,6088,
2027-05-04,29483,76,6416,
2027-05-11,35322,90,5104,
2027-05-18,32910,75,6993,Doctor referral campaign started.
2027-05-25,35555,73,7072,
2027-06-01,28643,64,5113,
2027-06-08,35295,80,6120,
2027-06-15,39052,83,6174,Google search ads paused for two days.
2027-06-22,40952,96,8076,
2027-06-29,36152,74,6883,Return rate dropped after new packaging.
2027-07-06,38176,84,7009,Pharmacy chain placed a bulk order.
2027-07-13,37062,85,6679,Free delivery offer inside Dhaka.
2027-07-20,39325,86,5415,
2027-07-27,32563,78,5480,
2027-08-03,33965,80,7044,Google search ads paused for two days.
2027-08-10,31942,71,5484,
2027-08-17,30108,67,5733,
2027-08-24,34766,75,7092,
2027-08-31,31381,68,5228,
2027-09-07,30337,73,6086,
2027-09-14,34342,87,4904,
2027-09-21,36520,81,5339,
2027-09-28,43043,91,8415,Free delivery offer inside Dhaka.
2027-10-05,42065,97,7437,
2027-10-12,38610,81,6498,
2027-10-19,44302,117,9038,
2027-10-26,52442,107,7221,
2027-11-02,57164,134,11078,
2027-11-09,59550,156,9212,Pharmacy chain placed a bulk order.
2027-11-16,44945,92,6342,
2027-11-23,58764,121,10589,Free delivery offer inside Dhaka.
2027-11-30,52202,116,10915,
2027-12-07,45938,108,6560,
2027-12-14,45808,96,6931,Pharmacy chain placed a bulk order.
2027-12-21,51949,130,7860,
2027-12-28,40693,104,5534,Return rate dropped after new packaging.
2028-01-04,36601,80,5164,
2028-01-11,41353,88,5765,Stock shortage on the 500mg strip.
2028-01-18,49092,116,9514,
2028-01-25,50316,131,7527,
2028-02-01,36517,97,6332,
2028-02-08,35824,84,6516,
2028-02-15,41985,108,6995,Stock shortage on the 500mg strip.
2028-02-22,42812,93,7642,
2028-02-29,45750,107,8477,
2028-03-07,39974,96,5640,
2028-03-14,45122,95,8975,
2028-03-21,36685,80,7983,Return rate dropped after new packaging.
2028-03-28,40315,84,5346,
2028-04-04,35658,85,7032,
2028-04-11,35305,87,6782,
2028-04-18,36972,77,7668,
2028-04-25,34609,79,4589,Free delivery offer inside Dhaka.
2028-05-02,36819,89,8012,Return rate dropped after new packaging.
2028-05-09,37139,91,5240,
2028-05-16,28328,74,5731,
2028-05-23,30236,62,4009,Doctor referral campaign started.
2028-05-30,35766,75,4986,
2028-06-06,26919,55,4347,
2028-06-13,28211,61,5899,
2028-06-20,34681,73,4658,Pharmacy chain placed a bulk order.
2028-06-27,33093,69,5232,
2028-07-04,38384,88,7961,Free delivery offer inside Dhaka.
2028-07-11,33770,88,4937,
2028-07-18,44364,117,8673,
2028-07-25,42688,89,8999,Free delivery offer inside Dhaka.
2028-08-01,42545,99,6871,Return rate dropped after new packaging.
2028-08-08,44497,95,7943,Free delivery offer inside Dhaka.
2028-08-15,37669,87,7941,
2028-08-22,36322,86,7101,
2028-08-29,41130,89,7272,Doctor referral campaign started.
2028-09-05,45294,120,7546,
2028-09-12,47160,125,6815,Google search ads paused for two days.
2028-09-19,51090,122,9467,
2028-09-26,41633,91,8635,
2028-10-03,41659,90,8215,
2028-10-10,42806,87,7131,Doctor referral campaign started.
2028-10-17,45589,110,6510,
2028-10-24,41333,89,6675,
2028-10-31,50669,104,9820,
2028-11-07,48151,112,8431,
2028-11-14,47431,114,6612,Pharmacy chain placed a bulk order.
2028-11-21,50570,114,9199,Stock shortage on the 500mg strip.
2028-11-28,59888,122,10792,
2028-12-05,53474,132,8909,
2028-12-12,58758,131,11088,Doctor referral campaign started.
2028-12-19,65311,160,8882,
2028-12-26,49550,128,9855,
2029-01-02,45337,117,6705,
2029-01-09,48783,123,9786,
2029-01-16,53745,119,8588,
2029-01-23,45034,115,6814,Stock shortage on the 500mg strip.
2029-01-30,49678,131,8530,Google search ads paused for two days.
2029-02-06,48251,99,8203,
2029-02-13,54045,131,8177,
2029-02-20,46610,108,6973,Stock shortage on the 500mg strip.
2029-02-27,45737,94,8942,
2029-03-06,48943,125,8071,Return rate dropped after new packaging.
2029-03-13,47183,101,9465,
2029-03-20,37326,80,7678,
2029-03-27,38307,90,6773,
2029-04-03,42357,90,7345,Google search ads paused for two days.
2029-04-10,46146,117,8865,
2029-04-17,44080,91,9292,Google search ads paused for two days.
2029-04-24,41392,101,6333,Free delivery offer inside Dhaka.
2029-05-01,49855,123,10340,
2029-05-08,46576,107,9264,Doctor referral campaign started.
2029-05-15,47961,106,7827,
2029-05-22,43254,107,8236,
2029-05-29,35721,85,5587,Stock shortage on the 500mg strip.
2029-06-05,40204,88,7313,
2029-06-12,38760,88,7973,
2029-06-19,39182,81,5662,
2029-06-26,37000,84,7171,
2029-07-03,35916,93,7266,
2029-07-10,30983,71,5688,
2029-07-17,28191,64,4649,Stock shortage on the 500mg strip.
2029-07-24,37068,78,7058,
2029-07-31,38415,99,5290,
2029-08-07,33882,74,7085,Stock shortage on the 500mg strip.
2029-08-14,43911,94,8659,
2029-08-21,44667,96,9416,
2029-08-28,49643,131,7173,
2029-09-04,53838,110,8512,
2029-09-11,54114,125,9291,
2029-09-18,46034,118,7669,
2029-09-25,54080,131,11676,
2029-10-02,56838,120,12175,Doctor referral campaign started.
2029-10-09,48976,112,7910,
2029-10-16,49920,113,9335,Return rate dropped after new packaging.
2029-10-23,41499,96,6984,Pharmacy chain placed a bulk order.
2029-10-30,44123,100,6901,
2029-11-06,49162,122,9945,
2029-11-13,53227,118,8868,
2029-11-20,56486,133,9507,
2029-11-27,42343,111,8422,
2029-12-04,55134,127,11060,Doctor referral campaign started.
2029-12-11,45374,95,7636,
2029-12-18,59651,124,8822,
2029-12-25,51030,125,7981,
2030-01-01,50086,118,10558,
2030-01-08,59988,159,11830,
2030-01-15,59371,144,8276,Doctor referral campaign started.
2030-01-22,50992,109,8929,
2030-01-29,56879,138,10830,
2030-02-05,54342,122,8130,
2030-02-12,50238,107,9053,
2030-02-19,63266,136,12906,
2030-02-26,52306,124,8092,Google search ads paused for two days.
2030-03-05,47252,102,9800,
2030-03-12,44708,91,6232,
2030-03-19,44028,93,8533,Return rate dropped after new packaging.
2030-03-26,49072,101,9760,
2030-04-02,34707,82,5015,
2030-04-09,33870,85,6852,
2030-04-16,41716,102,7872,
2030-04-23,34433,86,6966,Stock shortage on the 500mg strip.
2030-04-30,44447,95,9596,Return rate dropped after new packaging.
2030-05-07,47500,109,9609,Google search ads paused for two days.
2030-05-14,45018,109,7959,Free delivery offer inside Dhaka.
2030-05-21,36151,82,5224,
2030-05-28,40637,83,6148,
2030-06-04,48586,126,10159,Pharmacy chain placed a bulk order.
2030-06-11,44139,112,9380,
2030-06-18,39738,89,7634,Free delivery offer inside Dhaka.
2030-06-25,39330,104,7488,
2030-07-02,39063,88,5977,
2030-07-09,45736,96,8630,
2030-07-16,39485,102,7652,
2030-07-23,43936,110,7320,Pharmacy chain placed a bulk order.
2030-07-30,43814,101,9310,Return rate dropped after new packaging.
2030-08-06,37582,84,6069,Free delivery offer inside Dhaka.
2030-08-13,31784,72,5079,
2030-08-20,41880,108,6977,Return rate dropped after new packaging.
2030-08-27,42018,111,5572,
2030-09-03,42281,102,5678,Return rate dropped after new packaging.
2030-09-10,35492,74,5792,
2030-09-17,39305,82,5746,
2030-09-24,53719,121,11507,Google search ads paused for two days.
2030-10-01,47380,100,7894,
2030-10-08,47260,103,6668,
2030-10-15,54231,124,7560,
2030-10-22,53592,118,8291,
2030-10-29,47261,106,8838,
2030-11-05,48269,105,6975,Return rate dropped after new packaging.
2030-11-12,56495,117,10372,
2030-11-19,49582,124,8429,
2030-11-26,63439,135,10138,
2030-12-03,59240,155,12387,
2030-12-10,66881,154,11370,
2030-12-17,58938,126,9719,Pharmacy chain placed a bulk order.
2030-12-24,65047,159,11279,
2030-12-31,63493,155,12305,Pharmacy chain placed a bulk order.
2031-01-07,46686,110,8810,Return rate dropped after new packaging.
2031-01-14,61379,131,9391,
2031-01-21,50215,126,7085,
2031-01-28,64536,134,9874,
2031-02-04,61999,130,12015,Return rate dropped after new packaging.
2031-02-11,62301,137,12709,
2031-02-18,65399,165,12452,Return rate dropped after new packaging.
2031-02-25,51451,133,9534,Google search ads paused for two days.
2031-03-04,59774,146,13007,
2031-03-11,53532,112,8008,
2031-03-18,57652,129,8821,
2031-03-25,57275,128,9737,
2031-04-01,58548,151,8261,Free delivery offer inside Dhaka.
2031-04-08,61821,162,10825,
2031-04-15,50243,110,8114,Pharmacy chain placed a bulk order.
2031-04-22,41196,86,8614,Stock shortage on the 500mg strip.
2031-04-29,37785,93,6552,Free delivery offer inside Dhaka.
2031-05-06,37646,80,6720,
2031-05-13,34690,75,4600,
2031-05-20,41724,90,7377,
2031-05-27,46422,105,8286,
2031-06-03,33227,74,6439,
2031-06-10,37498,80,7841,
2031-06-17,45068,100,9270,Return rate dropped after new packaging.
2031-06-24,35482,82,5549,Pharmacy chain placed a bulk order.
2031-07-01,42835,112,8884,
2031-07-08,43095,90,6667,
2031-07-15,52993,133,7838,
2031-07-22,54629,122,8172,
