Week Start,Total Sales,Total Order Quantity,Total Amount Spent,Description
2026-09-08,2417,7,386,Iftar box pre-orders started.
2026-09-15,1776,6,267,Rainy week slowed down deliveries.
2026-09-22,1931,5,316,
2026-09-29,2524,8,412,
2026-10-06,2324,7,486,
2026-10-13,2488,6,416,
2026-10-20,2470,7,521,Vegetable supply was short on two days.
2026-10-27,2136,7,337,
2026-11-03,2748,8,407,New customers came from the referral coupon.
2026-11-10,2192,6,358,New customers came from the referral coupon.
2026-11-17,2155,6,397,New customers came from the referral coupon.
2026-11-24,2121,6,330,
2026-12-01,1816,6,279,
2026-12-08,2565,7,443,
2026-12-15,2116,6,386,
2026-12-22,2082,6,380,
2026-12-29,2038,6,395,Weekend grocery combo sold out.
2027-01-05,2022,5,365,Boosted the fresh fruit reel.
2027-01-12,1877,5,439,Weekend grocery combo sold out.
2027-01-19,2151,6,380,
2027-01-26,2720,7,527,
2027-02-02,2578,8,612,
2027-02-09,2235,7,450,Weekend grocery combo sold out.
2027-02-16,1899,5,393,
2027-02-23,2620,7,538,Iftar box pre-orders started.
2027-03-02,2508,7,434,New customers came from the referral coupon.
2027-03-09,1711,5,306,
2027-03-16,1759,5,291,Iftar box pre-orders started.
2027-03-23,1619,4,388,Iftar box pre-orders started.
2027-03-30,1503,4,291,
2027-04-06,1723,5,321,Vegetable supply was short on two days.
2027-04-13,1960,5,443,Vegetable supply was short on two days.
2027-04-20,1334,4,261,
2027-04-27,1411,4,292,Weekend grocery combo sold out.
2027-05-04,1627,4,269,
2027-05-11,1387,4,258,
2027-05-18,1817,6,304,
2027-05-25,1431,5,261,Iftar box pre-orders started.
2027-06-01,1677,5,363,
2027-06-08,1563,4,315,
2027-06-15,1987,7,351,
2027-06-22,1605,5,381,New customers came from the referral coupon.
2027-06-29,1621,5,376,Rainy week slowed down deliveries.
2027-07-06,2154,6,413,
2027-07-13,2053,6,406,
2027-07-20,2241,7,430,
2027-07-27,1755,5,427,Boosted the fresh fruit reel.
2027-08-03,1569,4,271,Weekend grocery combo sold out.
2027-08-10,2088,6,309,New customers came from the referral coupon.
2027-08-17,1942,6,299,Iftar box pre-orders started.
2027-08-24,1553,4,242,
2027-08-31,1505,5,355,
2027-09-07,1805,6,309,
2027-09-14,2249,7,436,
2027-09-21,2147,7,449,
2027-09-28,2317,7,383,Vegetable supply was short on two days.
2027-10-05,2572,7,606,
2027-10-12,2220,7,350,Iftar box pre-orders started.
2027-10-19,1921,6,401,Boosted the fresh fruit reel.
2027-10-26,2582,8,525,Rainy week slowed down deliveries.
2027-11-02,2843,8,616,
2027-11-09,3069,9,711,
2027-11-16,3169,10,500,Iftar box pre-orders started.
2027-11-23,2820,7,675,
2027-11-30,2602,7,529,
2027-12-07,2417,7,464,
2027-12-14,2909,9,553,Iftar box pre-orders started.
2027-12-21,2991,10,551,
2027-12-28,2329,8,549,
2028-01-04,2336,7,497,
2028-01-11,2415,6,450,Weekend grocery combo sold out.
2028-01-18,1980,5,316,Boosted the fresh fruit reel.
2028-01-25,2436,7,463,
2028-02-01,2326,7,544,
2028-02-08,2541,7,531,
2028-02-15,2352,7,514,
2028-02-22,2437,8,486,
2028-02-29,2550,7,422,New customers came from the referral coupon.
2028-03-07,2211,6,382,Weekend grocery combo sold out.
2028-03-14,2337,6,493,Boosted the fresh fruit reel.
2028-03-21,2654,8,590,Boosted the fresh fruit reel.
2028-03-28,2341,8,414,
2028-04-04,2283,7,555,
2028-04-11,2466,8,581,
2028-04-18,2324,7,548,
2028-04-25,2112,6,494,
2028-05-02,1846,6,438,
