Week Start,Total Sales,Total Order Quantity,Total Amount Spent,Description
2026-09-16,21815,36,3665,
2026-09-23,29964,43,3775,
2026-09-30,26261,45,3506,
2026-10-07,34386,52,4126,
2026-10-14,28184,50,3636,Eid collection landing page went live.
2026-10-21,32431,54,5838,Influencer video brought new traffic.
2026-10-28,27035,39,4582,Influencer video brought new traffic.
2026-11-04,32633,50,4259,
2026-11-11,29281,54,4216,
2026-11-18,26486,43,3099,Bulk order from a Chattogram reseller.
2026-11-25,34438,54,5941,Eid collection landing page went live.
2026-12-02,23354,38,3888,Influencer video brought new traffic.
2026-12-09,25866,46,3220,
2026-12-16,29565,55,5632,Size 40 and 41 went out of stock.
2026-12-23,24774,41,4051,
2026-12-30,26556,41,5059,Influencer video brought new traffic.
2027-01-06,26815,40,4103,
2027-01-13,27468,45,5027,
2027-01-20,28183,46,4566,
2027-01-27,24471,46,2900,Bulk order from a Chattogram reseller.
2027-02-03,30425,44,4153,
2027-02-10,26118,42,4545,
2027-02-17,28505,52,4575,
2027-02-24,35097,58,4843,Courier charge revised upward.
2027-03-03,33603,60,5998,
2027-03-10,25886,42,4310,Bulk order from a Chattogram reseller.
2027-03-17,32123,48,5108,
2027-03-24,21833,40,3340,Size 40 and 41 went out of stock.
2027-03-31,25068,43,3422,
2027-04-07,21921,35,3913,
2027-04-14,21761,32,4080,Courier charge revised upward.
2027-04-21,20370,35,3453,Eid collection landing page went live.
2027-04-28,22361,32,3321,Bulk order from a Chattogram reseller.
2027-05-05,18358,33,2286,
2027-05-12,20190,30,3452,
2027-05-19,21894,34,3251,Bulk order from a Chattogram reseller.
2027-05-26,21437,32,3827,
2027-06-02,23066,35,4290,
2027-06-09,18136,29,3183,
2027-06-16,21247,32,2613,
2027-06-23,21476,34,3318,Retail counter sales were strong.
2027-06-30,27600,50,3353,Influencer video brought new traffic.
2027-07-07,21329,36,2559,Retail counter sales were strong.
2027-07-14,29829,51,5280,Courier charge revised upward.
2027-07-21,25511,40,3674,
2027-07-28,25988,46,3469,
2027-08-04,22592,33,3490,
2027-08-11,24580,37,4056,Eid collection landing page went live.
2027-08-18,21642,38,3993,
2027-08-25,25316,40,4101,Courier charge revised upward.
2027-09-01,20187,33,3785,Influencer video brought new traffic.
2027-09-08,27282,48,3438,
2027-09-15,25955,41,3893,
2027-09-22,24579,37,3171,
2027-09-29,26700,42,4325,
2027-10-06,26170,44,3258,
2027-10-13,25661,37,3618,
2027-10-20,25966,39,3895,
2027-10-27,32668,49,4900,
2027-11-03,33649,49,4896,
2027-11-10,27810,44,4672,Size 40 and 41 went out of stock.
2027-11-17,32233,47,4883,
2027-11-24,33428,50,5766,
2027-12-01,38148,60,7038,Eid collection landing page went live.
2027-12-08,29396,44,5159,
2027-12-15,36935,55,5983,
2027-12-22,32237,47,5222,Bulk order from a Chattogram reseller.
2027-12-29,36731,65,5344,
2028-01-05,36075,58,5898,Eid collection landing page went live.
2028-01-12,31054,56,4705,
2028-01-19,34193,61,6155,
2028-01-26,32862,54,3993,
2028-02-02,28264,46,4409,
2028-02-09,29166,53,4506,Influencer video brought new traffic.
2028-02-16,34869,62,6224,
2028-02-23,31242,47,5389,
2028-03-01,34696,52,6453,Retail counter sales were strong.
2028-03-08,33263,53,5538,
2028-03-15,31474,55,4249,
2028-03-22,32536,57,5808,
2028-03-29,35214,61,4807,Bulk order from a Chattogram reseller.
2028-04-05,34659,55,4419,
2028-04-12,32371,53,6167,
2028-04-19,31593,53,4123,Courier charge revised upward.
2028-04-26,29751,43,4373,
2028-05-03,31763,53,4955,
2028-05-10,23781,44,3567,Influencer video brought new traffic.
2028-05-17,27257,44,3639,
2028-05-24,20034,35,2825,Influencer video brought new traffic.
2028-05-31,18788,33,2931,Retail counter sales were strong.
2028-06-07,17783,27,2561,
2028-06-14,23364,35,3680,
2028-06-21,21004,35,3655,Influencer video brought new traffic.
2028-06-28,24702,44,4298,
2028-07-05,21676,39,3024,Bulk order from a Chattogram reseller.
2028-07-12,22526,41,3615,
2028-07-19,27846,43,4386,
2028-07-26,25946,41,3347,
2028-08-02,22193,34,2630,Influencer video brought new traffic.
2028-08-09,27469,50,3667,Influencer video brought new traffic.
2028-08-16,33484,62,4470,Influencer video brought new traffic.
2028-08-23,31767,55,4289,Influencer video brought new traffic.
2028-08-30,32038,48,5430,Influencer video brought new traffic.
2028-09-06,26411,46,4318,
2028-09-13,25587,47,4529,
2028-09-20,25816,38,4337,
2028-09-27,34520,60,4453,
2028-10-04,29615,55,4931,
2028-10-11,34753,58,6620,
2028-10-18,29806,44,4158,
2028-10-25,27372,48,4640,Size 40 and 41 went out of stock.
2028-11-01,32256,46,6193,
2028-11-08,30535,52,5130,Eid collection landing page went live.
2028-11-15,31103,51,4386,Retail counter sales were strong.
2028-11-22,35386,53,4724,
2028-11-29,28233,41,4320,Influencer video brought new traffic.
2028-12-06,34423,59,6248,Retail counter sales were strong.
2028-12-13,34060,57,6131,Size 40 and 41 went out of stock.
2028-12-20,44488,79,8408,
2028-12-27,32194,55,4105,
2029-01-03,34394,56,5469,Size 40 and 41 went out of stock.
2029-01-10,44620,74,8433,
2029-01-17,34858,52,6431,Bulk order from a Chattogram reseller.
2029-01-24,31299,49,6009,
2029-01-31,31940,48,3737,Bulk order from a Chattogram reseller.
2029-02-07,34748,54,5994,
2029-02-14,36508,54,5421,
2029-02-21,31897,46,5119,
2029-02-28,37221,62,7146,Courier charge revised upward.
2029-03-07,30869,56,4353,
2029-03-14,32927,61,4643,Courier charge revised upward.
2029-03-21,27990,47,5080,Influencer video brought new traffic.
2029-03-28,26552,46,4421,
2029-04-04,25921,43,4977,Influencer video brought new traffic.
2029-04-11,28300,44,4967,Bulk order from a Chattogram reseller.
2029-04-18,30843,54,4118,
2029-04-25,32334,56,5044,
2029-05-02,33235,52,4188,
2029-05-09,24931,36,4076,
2029-05-16,25819,37,4531,
2029-05-23,30888,53,5143,
2029-05-30,34168,59,5381,
2029-06-06,25546,47,3449,
2029-06-13,28350,51,4848,Courier charge revised upward.
2029-06-20,26076,42,4303,Influencer video brought new traffic.
2029-06-27,25393,39,4037,Eid collection landing page went live.
2029-07-04,28190,50,3806,
2029-07-11,25932,37,4434,
2029-07-18,20979,31,3650,
2029-07-25,24523,37,2906,Influencer video brought new traffic.
2029-08-01,25404,37,4497,
2029-08-08,21928,32,3914,
2029-08-15,20502,32,3752,Retail counter sales were strong.
2029-08-22,27149,40,5213,Retail counter sales were strong.
2029-08-29,32127,51,4819,
2029-09-05,33891,62,4423,
2029-09-12,29938,52,4131,
2029-09-19,31367,48,5034,
2029-09-26,33294,56,4994,Retail counter sales were strong.
2029-10-03,29928,51,5432,Size 40 and 41 went out of stock.
2029-10-10,36512,61,4601,Influencer video brought new traffic.
2029-10-17,41938,65,5850,
2029-10-24,32240,59,6142,
2029-10-31,37143,58,6630,
2029-11-07,36551,58,6963,
2029-11-14,39346,65,4603,
2029-11-21,36554,54,5154,
2029-11-28,40728,71,7209,
2029-12-05,34451,55,4341,Size 40 and 41 went out of stock.
2029-12-12,37611,58,5867,Courier charge revised upward.
2029-12-19,33113,60,4917,
2029-12-26,28709,53,5254,
2030-01-02,37139,55,6852,
2030-01-09,36534,63,7015,
2030-01-16,38148,58,6237,
2030-01-23,45480,84,7095,
2030-01-30,36173,66,5860,
2030-02-06,41707,71,6694,Retail counter sales were strong.
2030-02-13,43054,69,8008,
2030-02-20,42062,70,6372,
2030-02-27,36050,57,6381,Retail counter sales were strong.
2030-03-06,42041,74,5991,
2030-03-13,30086,48,5190,Retail counter sales were strong.
2030-03-20,31755,53,5525,Retail counter sales were strong.
2030-03-27,28347,46,3869,
2030-04-03,27356,44,4432,
2030-04-10,26403,45,4713,Size 40 and 41 went out of stock.
2030-04-17,29686,44,5522,
2030-04-24,28621,52,4851,
2030-05-01,24831,43,4097,
2030-05-08,26901,50,4035,
2030-05-15,25180,42,3286,
2030-05-22,22627,34,2953,
2030-05-29,25453,42,4543,
2030-06-05,23695,37,2772,
2030-06-12,27068,44,3735,
2030-06-19,31100,53,4712,Courier charge revised upward.
2030-06-26,28867,54,4287,Eid collection landing page went live.
2030-07-03,26996,49,4414,Eid collection landing page went live.
2030-07-10,35717,53,6483,
2030-07-17,31300,56,4601,Bulk order from a Chattogram reseller.
2030-07-24,27644,41,3690,
2030-07-31,24823,36,4245,
2030-08-07,23731,37,4450,
2030-08-14,24618,37,3397,
2030-08-21,23108,40,2877,
2030-08-28,32032,56,5237,Eid collection landing page went live.
2030-09-04,28545,43,4196,
2030-09-11,27543,49,3760,
2030-09-18,26006,41,3706,
2030-09-25,27257,41,5070,
2030-10-02,29418,54,5604,
2030-10-09,32204,57,6135,
2030-10-16,39282,61,5480,
2030-10-23,30349,55,5326,
2030-10-30,35076,61,5893,
2030-11-06,37984,59,6609,Courier charge revised upward.
2030-11-13,35193,52,5754,
2030-11-20,39578,68,4927,
2030-11-27,45771,68,5836,Influencer video brought new traffic.
2030-12-04,34432,59,5940,
2030-12-11,44055,81,5551,
2030-12-18,42349,63,5336,Courier charge revised upward.
2030-12-25,38903,57,4843,Eid collection landing page went live.
2031-01-01,45997,82,7796,
2031-01-08,35601,66,5500,
2031-01-15,40701,74,6227,
2031-01-22,35402,60,6797,
2031-01-29,35211,52,4437,
2031-02-05,31904,57,4068,Bulk order from a Chattogram reseller.
2031-02-12,33986,58,4690,
2031-02-19,39278,66,7129,
2031-02-26,40584,72,7122,
2031-03-05,43087,75,8273,
2031-03-12,44368,74,7853,Size 40 and 41 went out of stock.
2031-03-19,47044,80,8115,
2031-03-26,37966,62,4556,
2031-04-02,47102,80,7560,
2031-04-09,35913,63,4417,
2031-04-16,45552,73,7379,Eid collection landing page went live.
2031-04-23,34927,53,4872,Influencer video brought new traffic.
2031-04-30,38380,65,7081,
2031-05-07,31270,54,3846,
2031-05-14,27820,49,4173,
2031-05-21,31251,52,5860,Influencer video brought new traffic.
2031-05-28,26098,42,4424,Retail counter sales were strong.
2031-06-04,30079,49,3835,Retail counter sales were strong.
2031-06-11,26058,46,4573,Influencer video brought new traffic.
2031-06-18,28114,41,4639,
2031-06-25,31620,53,4126,Courier charge revised upward.
2031-07-02,22663,38,3943,
2031-07-09,32115,56,4480,
2031-07-16,27744,47,5160,
2031-07-23,34076,54,4754,
2031-07-30,29440,43,4990,
2031-08-06,27820,49,4423,
2031-08-13,37897,63,5855,
2031-08-20,38872,70,4548,
2031-08-27,32579,54,5571,
2031-09-03,34302,62,6432,Bulk order from a Chattogram reseller.
2031-09-10,36144,53,4391,Bulk order from a Chattogram reseller.
2031-09-17,30248,45,4764,Influencer video brought new traffic.
2031-09-24,37104,60,5788,Retail counter sales were strong.
2031-10-01,34841,52,6324,
2031-10-08,33398,57,5160,Influencer video brought new traffic.
